Date,New York,Los Angeles,Chicago,Washington DC,Miami,Atlanta,Boston,San Francisco,Seattle
200801,359383,465549,191573,319375,210526,143458,304945,574018,319457
200802,358250,457129,189937,316013,206143,142577,302681,568408,318348
200803,356432,447180,189349,312164,201141,141512,300761,562689,316467
200804,354068,435168,187439,307542,196499,140521,298710,556790,313183
200805,350990,422837,186963,302570,191868,139696,296714,549556,309339
200806,348308,412653,184989,298303,187658,138719,294354,542320,305620
200807,345867,403239,184155,294304,183080,137498,292127,533579,302854
200808,343564,394628,182101,290701,178142,136262,289915,525129,299299
200809,341148,387481,181015,287142,172898,135107,287740,517964,295344
200810,338542,380413,179099,284036,167531,133923,285450,510159,291683
200811,335909,372493,177577,281028,162374,132294,283335,500183,288585
200812,333142,362032,175279,277956,157824,130201,280980,491175,284755
200901,330211,354446,172738,273802,153703,128014,278853,480127,282187
200902,327194,349948,170766,269916,149902,126122,276612,473553,279097
200903,324507,346819,168662,266505,146092,124418,274478,467636,276448
200904,321589,343008,167331,264120,142554,122647,272729,462284,271649
200905,319187,339407,165391,262657,139005,120898,271710,457059,267883
200906,316572,335437,163962,261567,135934,119517,271092,454444,264552
200907,314426,332932,162775,260692,133231,118567,270741,453407,262682
200908,312436,332033,161840,259913,130924,117528,270502,450603,261030
200909,311009,332519,160521,259145,128902,116666,270807,446740,259727
200910,309982,333271,159364,258807,127449,115697,271187,446369,259060
200911,309422,334439,158302,258885,126349,115118,271626,450147,258711
200912,309078,337012,157945,259319,125039,114661,272192,455670,258612
201001,308838,337027,157435,260305,124000,113957,272884,460072,256017
201002,308527,335121,157094,260888,123112,113105,274040,461087,253559
201003,307907,334240,156007,261707,122626,112117,274807,460319,250728
201004,307815,335477,155594,262397,121884,111764,275407,459996,250544
201005,307783,338461,154439,263040,121133,111388,275284,460821,250597
201006,308035,337865,153992,262968,120022,110656,275114,459916,249589
201007,307853,336249,151965,262564,119041,109126,274591,456810,247029
201008,307221,333318,150655,261964,117927,107431,274005,455518,243559
201009,306174,330611,148882,261535,116889,105305,272832,453328,240655
201010,304675,327776,147756,260633,115530,103542,271910,451318,237125
201011,302847,324143,145792,259234,114263,101720,270923,446796,233679
201012,300998,321936,144064,258322,113135,100409,270449,441790,230293
201101,299327,320731,142232,257766,111960,99028,269813,437887,228118
201102,298030,320348,140901,257777,110835,97902,268440,433803,226525
201103,296825,318488,139533,256887,109751,96456,266738,431317,224188
201104,295323,316103,137843,255959,108951,94728,265093,427884,221228
201105,293455,311826,136451,254853,108177,92642,263806,423121,216584
201106,291436,310726,134712,254339,107522,90802,263007,417578,213007
201107,289483,309667,133850,253683,106866,89457,261905,415171,209450
201108,288004,308712,132554,253234,106439,88773,260960,412020,207264
201109,286582,306404,131657,252750,106074,88582,259867,411343,204831
201110,285345,304080,129858,252449,105905,88316,258763,408280,202746
201111,284002,303669,128753,252570,105901,87928,257732,406439,200710
201112,282749,302499,127292,252381,105943,87088,256671,404541,198988
201201,281523,301420,126364,252242,106064,86645,255971,401934,197960
201202,280092,299975,124724,252362,106074,86062,255607,401729,196080
201203,278847,299250,123988,253407,106236,86100,255764,401790,195420
201204,277716,298993,123066,254490,106537,86071,255788,403888,194845
201205,277078,299995,122538,255500,107175,86425,256054,407569,196039
201206,276510,301121,121623,256549,108099,86817,256124,414141,197296
201207,276053,303102,120670,257939,108996,87271,256861,419831,198993
201208,275585,304983,119844,259175,110029,87361,257465,426837,200494
201209,275429,307754,119110,260157,111192,87177,258375,432610,202113
201210,275466,311697,119063,261697,112497,87157,259615,440270,204045
201211,275792,315291,119290,263287,113525,87593,261349,448193,206305
201212,276191,320107,119549,265208,114726,88352,263198,456200,208344
201301,276742,324633,120037,266964,116214,89150,264331,468155,209472
201302,277558,331560,120649,268403,118138,90061,266168,478519,211843
201303,278337,338853,121073,269796,120099,91064,268249,491256,214505
201304,279121,347034,121762,271273,122315,92265,271103,502329,218073
201305,279847,354203,122395,273347,124409,93626,273493,515812,221125
201306,280984,361391,123605,275323,126365,95066,275433,526905,223526
201307,282528,367937,124825,277135,128386,96535,277285,537443,226433
201308,284100,375892,126355,279191,130489,98170,279424,545552,229185
201309,285517,382863,127674,281460,132661,99985,282183,554084,232372
201310,286969,388269,129184,283251,134612,101689,284699,562438,234782
201311,288630,392555,129977,284820,136992,103077,286637,571262,236650
201312,290089,395466,130940,285877,139167,104424,287836,580926,238557
201401,291424,398759,131414,287206,141257,105693,289199,587526,241070
201402,292298,399441,132280,288269,142685,107065,290205,594317,243321
201403,293632,400125,132821,289185,144236,108047,291439,597219,244717
201404,294931,400124,133147,289720,145156,108887,292813,601495,245520
201405,296229,400996,133700,289653,146319,109465,294119,602313,246234
201406,296963,401622,134538,289405,147201,110037,295747,604087,248318
201407,297275,403108,135413,289539,148493,110845,296911,606616,249735
201408,297703,402666,135977,289503,149504,111646,298130,611027,251015
201409,298110,402814,136723,289632,150428,112516,298683,615706,251831
201410,298523,403005,137229,289547,151471,113311,299093,620547,253802
201411,298452,405334,138004,289675,152032,114168,299807,626841,256149
201412,298809,407584,138600,289787,152862,114987,301614,632830,258855
201501,299364,410708,139213,289344,153530,115721,303952,636956,261864
201502,300389,414198,139558,289689,154757,116295,306168,642757,264013
201503,300844,417705,140185,290006,155643,116982,307531,652035,266462
201504,301361,419580,141183,290414,156721,117814,308006,661652,268470
201505,301837,421738,142029,290538,157521,119019,308896,671077,271533
201506,302530,423843,142372,290934,158566,120195,310017,679938,273774
201507,303154,425938,142662,291328,159293,121085,311995,690356,276332
201508,303600,428601,143010,291733,160202,121867,313775,701917,279743
201509,304173,431451,143373,291964,161310,122685,315267,713771,283338
201510,304677,434996,143664,292450,162372,123462,317005,723079,286636
201511,305590,437459,143986,292569,163699,124259,318330,728642,289656
201512,306082,441329,144526,292746,164755,124894,319565,733334,292420
201601,306208,443547,145186,293219,166027,125898,320936,742245,294767
201602,306234,446474,146215,292875,167075,126949,322464,749814,298017
201603,306387,448241,147037,293003,168241,128228,324306,753106,301688
201604,306807,451910,147697,293295,169421,129438,326097,755337,305825
201605,307046,454837,148256,294627,170711,130331,328178,758012,309128
201606,307655,457657,148975,295338,172163,131018,329988,762085,312599
201607,308484,459992,149908,295748,173599,131572,331153,761606,316287
201608,309462,463148,150777,295906,174826,132326,332576,761010,319475
201609,310227,466693,151506,296320,175786,132826,334713,759962,322701
201610,311134,470220,152246,296854,176785,133775,336836,764094,325531
201611,311884,472746,153128,297880,178001,134824,339206,768410,329443
201612,312885,474519,154042,299386,179325,136294,341089,775127,333747
201701,314040,477663,155015,300720,180559,137441,342591,778556,337996
201702,315103,480164,155872,302333,181643,138676,343973,782999,341749
201703,316386,483387,157027,302754,182513,139782,345520,787074,344951
201704,317425,485616,158074,303452,183621,140866,347990,791146,349162
201705,319114,489153,158980,303179,184628,141980,350059,795995,353973
201706,320497,492643,159633,303748,185654,143413,352339,801340,359624
201707,322201,496012,160185,304477,186601,145042,354940,809772,365582
201708,323812,499034,160931,305705,187945,146469,356910,816628,370871
201709,325600,501980,161790,306813,189296,148130,358967,825916,375367
201710,327060,504899,162790,307751,190699,149573,360484,833951,380524
201711,328534,509443,163748,308644,191409,151159,362890,846021,384547
201712,329953,513807,164812,308885,192260,152707,364708,857471,389108
201801,331586,517616,165927,309463,192737,154181,366620,867828,393364
201802,333330,521263,166742,309895,193793,155648,368599,874393,399299
201803,334923,525041,167160,311299,195000,156860,371168,882500,405099
201804,336574,528845,167581,312184,196093,158320,373395,892196,409990
201805,337746,531967,168230,313899,197282,159918,375426,902948,413786
201806,338925,535106,169095,315309,198174,161679,377184,911113,415956
201807,339590,538036,169760,316868,199343,163411,378783,916252,416271
201808,340258,539629,170337,317675,200260,165072,380302,921933,416114
201809,341050,540253,170992,318385,201091,166691,381063,924382,417330
201810,342238,541011,171599,319013,201603,168321,382389,925787,418295
201811,343474,541559,172174,319504,202689,169766,383125,921920,418301
201812,344338,541171,172567,320565,203719,170823,384223,913197,416566
201901,344761,540022,172719,321844,204749,171835,384737,904855,414963
201902,344844,537298,173058,323482,204657,172526,385176,900099,412768
201903,345064,534515,173371,325091,204863,173528,384626,896207,410752
201904,345338,533335,173873,326409,205064,174492,384182,895539,409017
201905,346097,535372,174265,327716,205420,175866,384215,898197,409559
201906,346678,537966,174532,328471,205928,176659,385462,901386,410521
201907,347418,540170,174832,329325,206498,177349,386605,903221,412377
201908,347792,541332,175003,330400,207128,177929,387757,900532,413798
201909,348211,543603,175170,331849,207558,178610,388970,901813,415235
201910,348425,545658,175267,333447,208180,179276,389971,902893,416598
201911,348571,547095,175350,335128,208606,179960,390857,905176,418932
201912,348945,549167,175478,336642,208938,180854,391774,910162,422171
202001,349485,551617,175719,337893,209415,181861,393081,915423,425541
202002,350211,555313,175943,338965,210461,183072,394363,919204,428714
202003,350806,558746,176292,339876,211195,184173,396008,921465,432078
202004,351323,560923,176488,341289,211900,185154,397487,920067,435590
202005,351521,560537,176649,342538,212417,185725,398725,915064,437925
202006,351861,559580,176811,344279,212924,186588,399078,910372,440715